"Word","Written","ListIdentifier","DantzigAuditory","DantzigGustatory","DantzigOlfactory","DantzigVisual","DantzigHaptic","DantzigDominantModality","LynottNounVisualStrengthMean","LynottNounHapticStrengthMean","LynottNounAuditoryStrengthMean","LynottNounOlfactoryStrengthMean","LynottNounGustatoryStrengthMean","LynottNounDominantModality","Auditory_mean","Gustatory_mean","Haptic_mean","Olfactory_mean","Visual_mean","DominantModalityNoun","Valence","AbsValence","AOA","Conc","POS","WordFreq","OriginalPOS","ContentPOS"
"jump",1,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44,1.37615307222422,2.84,4.52,"Verb",3.5517,"verb","Verb"
"kick",1.95,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,0.513846927775782,4.06,4.33,"Verb",3.5735,"verb","Verb"
"kiss",1.25,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.78,2.71615307222422,3.61,4.48,"Verb",3.791,"verb","Verb"
"knock",3.0625,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44,0.376153072224219,4.63,4.24,"Verb",3.5185,"verb","Verb"
"lick",1.166666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38,1.31615307222422,4.3,4.52,"Verb",2.7482,"verb","Verb"
"like",-0.333333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.44,2.37615307222422,3.69,1.89,"Preposition",5.3095,"verb",NA
"listen",0.75,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91,1.84615307222422,5.4,3.47,"Verb",4.4438,"verb","Verb"
"look",1.818181818,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.529411765,0.176470588,0.941176471,0.352941176,4.764705882,"Visual",5.95,0.886153072224219,4.05,2.96,"Verb",4.997,"verb","Verb"
"love",1.125,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2.93615307222422,5.17,2.07,"Verb",4.7548,"verb","Verb"
"make",0.642857143,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09,1.02615307222422,4.68,2.67,"Verb",4.8499,"verb","Verb"
"nap",1.272727273,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,1.46615307222422,2.53,4.03,"Noun",2.8102,"verb","Noun"
"open",1.1,"list1",2.27,0.29,1.36,4.85,3.535,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14,1.07615307222422,5,3.21,"Verb",4.2133,"verb","Verb"
"paint",1.727272727,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470588235,0.470588235,2.823529412,3.882352941,4.588235294,"Visual",5.74,0.676153072224219,4.45,4.79,"Verb",3.2737,"verb","Verb"
"pick",2.076923077,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,0.846153072224219,5.26,3.82,"Verb",4.0051,"verb","Verb"
"play",1.083333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,2.48615307222422,4.1,3.24,"Verb",4.2572,"verb","Verb"
"please",0.6,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.48,1.64,"Adverb",4.7493,"verb","Adverb"
"pour",1.3,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,0.0961530722242188,5,4.14,"Verb",2.8876,"verb","Verb"
"pretend",-1,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,0.443846927775781,4.56,2.11,"Verb",3.3132,"verb","Verb"
"pull",2.083333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59,0.526153072224218,4.79,3.97,"Verb",3.8733,"verb","Verb"
"push",2.333333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.39,0.326153072224218,4.26,4.21,"Verb",3.5562,"verb","Verb"
"put",1.230769231,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.09,0.0261530722242185,3.72,2.5,"Verb",4.6258,"verb","Verb"
"read",0.090909091,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.73,1.66615307222422,4.11,3.56,"Verb",4.09,"verb","Verb"
"ride",1.166666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27,1.20615307222422,4.67,3.75,"Noun",3.8392,"verb","Noun"
"rip",3.736842105,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.28,1.78384692777578,6.11,3.79,"Verb",3.0124,"verb","Verb"
"run",0.909090909,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,1.34615307222422,4.47,4.31,"Verb",4.2523,"verb","Verb"
"say",0.8,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,0.846153072224219,3.42,2.58,"Verb",4.9224,"verb","Verb"
"see",1.272727273,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27,1.20615307222422,3.06,3.21,"Verb",5.1153,"verb","Verb"
"shake",2.615384615,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59,0.473846927775782,5.26,4.07,"Verb",3.3058,"verb","Verb"
"share",-0.444444444,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22,1.15615307222422,4.84,2.96,"Verb",3.5497,"verb","Verb"
"show",0.846153846,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,0.846153072224219,6.21,3.97,"Verb",4.3963,"verb","Verb"
"sing",1.7,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,2.43615307222422,3.47,4.34,"Verb",3.6971,"verb","Verb"
"sit",0.866666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.82,0.756153072224219,3.47,4.8,"Verb",4.2009,"verb","Verb"
"skate",1.416666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74,1.67615307222422,5.37,4.56,"Verb",2.48,"verb","Verb"
"sleep",0.769230769,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.22,2.15615307222422,2.79,4.44,"Verb",4.0654,"verb","Verb"
"smile",1.727272727,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,2.82615307222422,3.51,4.5,"Noun",3.4711,"verb","Noun"
"spill",1.916666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.63,1.43384692777578,3.84,4.07,"Verb",2.6365,"verb","Verb"
"splash",3.5,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,1.46615307222422,3.67,4.19,"Noun",2.3345,"verb","Noun"
"stand",1.5,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27,0.206153072224218,4.39,4.16,"Verb",4.0621,"verb","Verb"
"stay",0.833333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.529411765,0.235294118,1.470588235,0.411764706,2.588235294,"Visual",6.14,1.07615307222422,4.22,2.15,"Verb",4.4199,"verb","Verb"
"stop",2.5,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.647058824,0.705882353,1.764705882,0.647058824,3.941176471,"Visual",4.73,0.333846927775781,2.89,3.68,"Verb",4.5572,"verb","Verb"
"sweep",3.235294118,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.27,0.206153072224218,4.2,3.72,"Verb",2.6866,"verb","Verb"
"swim",1,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71,1.64615307222422,4.17,4.43,"Verb",3.2103,"verb","Verb"
"take",1.2,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,0.243846927775781,4.37,3.06,"Verb",4.9843,"verb","Verb"
"talk",0.214285714,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.64,1.57615307222422,3.68,4.07,"Verb",4.6395,"verb","Verb"
"taste",1.142857143,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235294118,5,1.647058824,2.352941176,1.25,"Gustatory",6.63,1.56615307222422,4.26,4.07,"Noun",3.418,"verb","Noun"
"tear",0.555555556,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14,1.92384692777578,4.89,4.56,"Verb",3.1392,"verb","Verb"
"think",0.363636364,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68,1.61615307222422,4.75,2.41,"Verb",5.1376,"verb","Verb"
"throw",0.785714286,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.470588235,0,3.176470588,0,4.176470588,"Visual",5.55,0.486153072224218,4.14,4.04,"Verb",3.8176,"verb","Verb"
"tickle",2.142857143,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.14,1.07615307222422,4.35,3.85,"Verb",2.3909,"verb","Verb"
"touch",0.823529412,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.64,1.57615307222422,5.16,3.86,"Verb",3.8771,"verb","Verb"
"turn",0,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.941176471,0,1.823529412,0.176470588,3.882352941,"Visual",5.45,0.386153072224219,4.11,3.44,"Verb",4.194,"verb","Verb"
"wait",-0.5,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294117647,0.176470588,0.705882353,0.352941176,2.235294118,"Visual",4.55,0.513846927775782,4.3,2.68,"Verb",4.6268,"verb","Verb"
"wake",-0.181818182,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,1.50615307222422,5.63,3.11,"Verb",3.7297,"verb","Verb"
"walk",0.727272727,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,1.70615307222422,3.45,4.07,"Verb",4.0418,"verb","Verb"
"wash",1.461538462,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.936153072224219,4,4.35,"Verb",3.3176,"verb","Verb"
"wipe",2,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58,0.483846927775781,4.83,4,"Verb",2.9355,"verb","Verb"
"wish",2.181818182,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,2.07615307222422,3.79,1.77,"Verb",4.0789,"verb","Verb"
"write",1.181818182,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45,1.38615307222422,4.89,4.22,"Verb",3.8108,"verb","Verb"
"abide",0.25,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52,0.456153072224218,9.5,1.68,"Verb",2.143,NA,"Verb"
"able",0.466666666666667,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.64,1.57615307222422,7.79,2.38,"Adjective",3.9115,NA,"Adjective"
"abrasive",1.3125,"list2",1.81,0.165,0.275,3.6,3.59,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.26,0.803846927775782,12.22,3.03,"Adjective",1.3802,NA,"Adjective"
"absorbent",0.923076923076923,"list2",1.79,0.085,0.21,3.16,3.49,"Haptic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.32,3.1,"Adjective",0.9542,NA,"Adjective"
"academy",0.692307692307692,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.411764706,0.058823529,0.470588235,0.117647059,2.705882353,"Visual",5.32,0.256153072224219,9.05,4.29,"Noun",2.8021,NA,"Noun"
"account",-0.428571428571429,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.705882353,0.117647059,0.352941176,0.235294118,1.411764706,"Auditory",5.39,0.326153072224218,8.26,3.08,"Noun",3.3581,NA,"Noun"
"ache",1.15384615384615,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.27,1.79384692777578,5.79,3.43,"Noun",2.1072,NA,"Noun"
"aching",0.25,"list2",0.695,0.35,0.085,1.035,4.125,"Haptic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.72,"Verb",2.0253,NA,"Verb"
"acid",0.75,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26,1.80384692777578,9.6,4.25,"Noun",2.7067,NA,"Noun"
"acidic",1,"list2",0.245,4.83,2.965,0.795,0.675,"Gustatory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.21,3.54,"Adjective",1.0792,NA,"Adjective"
"acrid",0.615384615384615,"list2",0.205,3.15,4.165,1.565,0.395,"Olfactory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.07,2.68,"Adjective",0.4771,NA,"Adjective"
"add",-0.153846153846154,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23,1.16615307222422,5.1,3,"Verb",3.2271,NA,"Verb"
"addition",1.23076923076923,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294117647,0.470588235,0.882352941,0.647058824,3.058823529,"Visual",NA,NA,5.76,2.89,"Preposition",2.5977,NA,NA
"address",-0.583333333333333,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,1.04615307222422,5.15,3.89,"Noun",3.426,NA,"Noun"
"adhere",-0.4,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.17,0.106153072224219,10.78,2.62,"Verb",1.4771,NA,"Verb"
"adhesive",1.33333333333333,"list2",0.64,0.26,0.37,3.51,4.535,"Haptic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.84,0.776153072224218,9.17,4.35,"Noun",1.6812,NA,"Noun"
"administer",0.25,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,0.663846927775781,9.42,2.53,"Verb",1.9345,NA,"Verb"
"administration",0.384615384615385,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,0.0625,0.5,0.25,2.625,"Visual",4.45,0.613846927775781,11.11,2.78,"Noun",2.5888,NA,"Noun"
"admission",0.0909090909090909,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8125,0,0.875,0.4375,3.4375,"Visual",5.91,0.846153072224219,8.84,2.83,"Noun",2.2601,NA,"Noun"
"advantage",-0.307692307692308,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.705882353,0.352941176,0.529411765,0.470588235,3.117647059,"Visual",6.71,1.64615307222422,9.32,2,"Noun",3.0515,NA,"Noun"
"advice",0.428571428571429,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.882352941,0,0,0,2.058823529,"Auditory",5.78,0.716153072224219,8.61,2.73,"Noun",3.3888,NA,"Noun"
"afford",-0.0666666666666667,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56,1.49615307222422,7.47,1.83,"Verb",3.3555,NA,"Verb"
"afraid",1.33333333333333,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2.81384692777578,4.42,2.7,"Adjective",4.1015,NA,"Adjective"
"aim",0.454545454545455,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.411764706,0.235294118,1.117647059,0.470588235,2.647058824,"Visual",5.95,0.886153072224219,6.72,3.27,"Verb",2.8802,NA,"Verb"
"air",1.3,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.058823529,1.470588235,2.117647059,2.529411765,1.352941176,"Olfactory",6.71,1.64615307222422,3.94,4.11,"Noun",3.8507,NA,"Noun"
"alcohol",-0.846153846153846,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11,0.953846927775781,9,4.76,"Noun",2.9274,NA,"Noun"
"alcoholic",0.416666666666667,"list2",0.175,3.23,4.345,1.12,1.505,"Olfactory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,2.57384692777578,9.95,3.37,"Noun",2.5011,NA,"Noun"
"alive",1.38461538461538,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.57,1.50615307222422,5.11,3.14,"Adjective",3.8965,NA,"Adjective"
"alone",1.23076923076923,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,1.21384692777578,4.94,2.86,"Adjective",4.1969,NA,"Adjective"
"aloof",0.714285714285714,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59,0.473846927775782,13.41,1.46,"Adjective",1.5315,NA,"Adjective"
"amateur",-0.857142857142857,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.882352941,0.411764706,0.588235294,0.294117647,3.588235294,"Visual",4.58,0.483846927775781,10.53,2.31,"Adjective",2.525,NA,"Adjective"
"amber",0,"list2",0.075,0.65,0.47,4.65,0.84,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,1.08615307222422,9.28,4.35,"Noun",2.6758,NA,"Noun"
"amount",0.692307692307692,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.647058824,3.117647059,1.352941176,4.058823529,"Visual",5.42,0.356153072224219,6.63,2.74,"Noun",3.1014,NA,"Noun"
"anger",1,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.705882353,0.117647059,1.411764706,0.352941176,4.117647059,"Visual",2.5,2.56384692777578,6,2.41,"Noun",2.9965,NA,"Noun"
"angle",1.07692307692308,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,0.513846927775782,8.05,3.5,"Noun",2.882,NA,"Noun"
"angry",1.76923076923077,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,2.53384692777578,4.45,2.53,"Adjective",3.4784,NA,"Adjective"
"angular",1.71428571428571,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.32,3.07,"Adjective",0.9031,NA,"Adjective"
"answer",0.5625,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0.411764706,0,2.882352941,"Auditory",6.1,1.03615307222422,5.43,2.89,"Verb",3.9536,NA,"Verb"
"antiseptic",-0.428571428571429,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57,0.493846927775781,9.95,3.85,"Adjective",1.6532,NA,"Adjective"
"appeal",0.357142857142857,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.294117647,1.411764706,1.235294118,1.294117647,3.294117647,"Visual",6.3,1.23615307222422,10.21,1.73,"Noun",2.8222,NA,"Noun"
"appease",0.923076923076923,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,0.886153072224219,11.78,1.93,"Verb",1.415,NA,"Verb"
"area",-0.214285714285714,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.117647059,2.058823529,0.588235294,4,"Visual",5.56,0.496153072224218,6.58,3.72,"Noun",3.5823,NA,"Noun"
"arf",1.92857142857143,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unclassified",1.5911,NA,NA
"argue",0.428571428571429,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,1.91384692777578,4.61,2.75,"Verb",3.0035,NA,"Verb"
"aroma",1.14285714285714,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65,2.58615307222422,9.47,3.67,"Noun",1.8451,NA,"Noun"
"aromatic",1.25,"list2",0.21,1.515,4.865,1.195,0.475,"Olfactory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.05,3.04,"Adjective",1.1761,NA,"Adjective"
"arrange",0.428571428571429,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15,0.086153072224219,8.28,2.79,"Verb",2.8987,NA,"Verb"
"arrangement",0.666666666666667,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.823529412,0.294117647,1.470588235,0.470588235,3.411764706,"Visual",5.71,0.646153072224219,9.89,2.3,"Noun",2.6839,NA,"Noun"
"arrest",0.5,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33,2.73384692777578,7.47,3.93,"Noun",3.4826,NA,"Noun"
"arsenal",1,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,0.613846927775781,11.79,3.86,"Noun",2.0128,NA,"Noun"
"asbestos",-0.615384615384615,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24,2.82384692777578,13.95,4.52,"Noun",1.8261,NA,"Noun"
"ash",0.538461538461538,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.63,4.96,"Name",2.6721,NA,NA
"ashes",0.769230769230769,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06,4.92,"Noun",2.7024,NA,"Noun"
"asinine",-0.615384615384615,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,0.0138469277757816,12.71,1.67,"Adjective",1.699,NA,"Adjective"
"aspect",-0.333333333333333,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.875,0.5,0.8,1,2.375,"Visual",4.89,0.173846927775782,10.35,1.82,"Noun",2.2967,NA,"Noun"
"astringent",0.142857142857143,"list2",0.19,2.805,3.11,1.105,1.745,"Olfactory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,3.21,"Noun",0.8451,NA,"Noun"
"atom",0.181818181818182,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.625,0.941176471,0.5,1.375,"Visual",5.74,0.676153072224219,9.68,3.34,"Noun",2.1492,NA,"Noun"
"attempt",-0.272727272727273,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.647058824,0.176470588,1.352941176,0.117647059,2.529411765,"Visual",6,0.936153072224219,7.7,2.22,"Noun",2.9894,NA,"Noun"
"attorney",-0.692307692307692,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,1.39384692777578,10.95,4.52,"Noun",3.3141,NA,"Noun"
"audible",0.923076923076923,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05,0.986153072224218,11.05,3.23,"Adjective",1.5682,NA,"Adjective"
"avoid",-0.166666666666667,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,0.963846927775782,8.5,2.41,"Verb",3.0934,NA,"Verb"
"azure",-0.5,"list2",0.67,0.155,0.575,4.44,0.735,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.54,NA,"Noun",1.2041,NA,"Noun"
"babble",3.53846153846154,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.55,0.513846927775782,7.17,3.31,"Verb",1.6532,NA,"Verb"
"babbling",3,"list2",4.415,0.095,0.23,3.395,0.96,"Auditory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,"Verb",2.2014,NA,"Verb"
"background",0.416666666666667,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.823529412,0.117647059,0.529411765,0.411764706,3.470588235,"Visual",5.05,0.0138469277757816,8.67,3.26,"Noun",2.9542,NA,"Noun"
"balance",0.25,"list2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.235294118,0.411764706,1.764705882,0.294117647,2.941176471,"Visual",6.84,1.77615307222422,9.89,2.89,"Noun",2.8837,NA,"Noun"
