"Word","Written","ListIdentifier","DantzigAuditory","DantzigGustatory","DantzigOlfactory","DantzigVisual","DantzigHaptic","DantzigDominantModality","LynottNounVisualStrengthMean","LynottNounHapticStrengthMean","LynottNounAuditoryStrengthMean","LynottNounOlfactoryStrengthMean","LynottNounGustatoryStrengthMean","LynottNounDominantModality","Auditory_mean","Gustatory_mean","Haptic_mean","Olfactory_mean","Visual_mean","DominantModalityNoun","Valence","AbsValence","AOA","Conc","POS","WordFreq","OriginalPOS","ContentPOS"
"hungry",1.285714286,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54,1.52384692777578,3.63,2.9,"Adjective",3.5946,"adjective","Adjective"
"hurt",0.9,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.470588235,0.411764706,3.117647059,0.352941176,3.529411765,"Visual",2.45,2.61384692777578,4,3.61,"Verb",4.0992,"adjective","Verb"
"last",0.615384615,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,3.04,"Number",4.5668,"adjective",NA
"little",1.15,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91,0.846153072224219,3.95,3.67,"Adjective",4.8679,"adjective","Adjective"
"long",0.090909091,"list1",2.37,0.015,0.01,3.475,1.345,"Visual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24,3.18,"Adverb",4.537,"adjective","Adverb"
"loud",1.2,"list1",3.465,0,0.185,2.335,0.65,"Auditory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54,3.73,"Adverb",3.3079,"adjective","Adverb"
"mad",0.733333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47,2.59384692777578,3.55,2.76,"Adjective",3.7623,"adjective","Adjective"
"naughty",0.4,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04,0.976153072224219,4.9,2.04,"Adjective",2.7193,"adjective","Adjective"
"new",-0.285714286,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.68,2.61615307222422,4.72,2.81,"Adjective",4.5672,"adjective","Adjective"
"nice",0.8125,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95,1.88615307222422,3.95,2.18,"Adjective",4.5202,"adjective","Adjective"
"noisy",1.4,"list1",5,0,0.055,2.42,0.395,"Auditory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21,1.85384692777578,5.33,3.56,"Adjective",2.4116,"adjective","Adjective"
"old",1.266666667,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.19,1.87384692777578,3.72,2.72,"Adjective",4.4922,"adjective","Adjective"
"other",-0.083333333,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,0.346153072224219,5.33,2.04,"Adjective",4.5741,"adjective","Adjective"
"poor",-1.2,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.67,1.39384692777578,6.11,2.7,"Adjective",3.8185,"adjective","Adjective"
"pretty",2,"list1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,2.63615307222422,4.09,2.4,"Adverb",4.3011,"adjective","Adverb"
