Lexical class,English word,Experiment 1 (written words),Experiment 2 (spoken words),Experiment 5 (alien accuracy)
grammar,what,0.142857143,-0.071428571,25.1
grammar,when,-1.125,-0.615384615,18.88235294
grammar,where,-0.818181818,-0.363636364,57.5
grammar,which,0.090909091,0.090909091,8.909090909
grammar,who,1.375,0.454545455,52.36363636
grammar,why,0.769230769,0.2,36.92857143
grammar,will,0.214285714,1.2,30.9
grammar,with,1.166666667,0,29.7
grammar,would,-2.1,-1.727272727,24.78571429
grammar,you,-0.4,0.181818182,56.36363636
grammar,your,0,0.647058824,51
grammar,yourself,0.333333333,0.416666667,34.5
noun,alligator,1.090909091,0.466666667,21.9
noun,animal,-0.933333333,0.454545455,40
noun,ankle,0.466666667,0.090909091,29.75
noun,ant,0.6,1.153846154,29.3
noun,apple,0.083333333,0.692307692,28.2
noun,arm,0.2,0.692307692,41.66666667
noun,aunt,0.2,-1.090909091,19.9
noun,baby,2.230769231,1.333333333,60.0625
noun,back,0.4,1,58.47058824
noun,ball,0.75,1,57.7
noun,balloon,1.714285714,0.769230769,41.8
noun,banana,1,0.083333333,30.07692308
noun,basement,0.818181818,1.266666667,27.82352941
noun,basket,-0.166666667,1,27
noun,bat,0.153846154,0.142857143,28.36363636
noun,bath,0.3,0.545454545,19.4
noun,beach,-0.214285714,1,34.6
noun,beads,1.454545455,1,41.36363636
noun,beans,0.375,0.461538462,42.78571429
noun,bear,-0.25,0.857142857,30.30769231
noun,bed,0.416666667,0.461538462,45.81818182
noun,bee,1.545454545,1.909090909,50.63636364
noun,belt,1.2,0.9,34.36842105
noun,bench,-0.916666667,0.692307692,32
noun,bib,0.083333333,1.142857143,25.375
noun,bird,0.727272727,1,35.71428571
noun,blanket,0.117647059,0.3,26.27272727
noun,block,2.428571429,1.4,32.3
noun,boat,1.142857143,1.272727273,51.88888889
noun,book,0.090909091,0.266666667,66.54545455
noun,boots,0.4,0.714285714,43.45454545
noun,bottle,0.5,1.272727273,36.11764706
noun,bowl,1.5,1.5,43
noun,box,0.5625,0.615384615,43.75
noun,boy,1.7,1.230769231,52.53846154
noun,bread,0.333333333,0.5,37.45
noun,breakfast,0.916666667,1.25,11.92307692
noun,broom,0.571428571,0.7,36.13333333
noun,brother,0.4,1.166666667,29.21428571
noun,brush,1.727272727,2,35.66666667
noun,bubbles,2.5,2.4,66
noun,bucket,-0.529411765,0.3,42.5
noun,bug,1.9,2.333333333,42.17647059
noun,bunny,0.4,1.8,35
noun,bus,-0.928571429,-0.357142857,26.6
noun,butter,0.545454545,0.583333333,23.73333333
noun,buttocks,0.25,1.636363636,35.8
noun,button,0.5,-0.0625,44.66666667
noun,cake,0.461538462,-0.166666667,52.5
noun,camera,1.333333333,-0.416666667,38.36363636
noun,camping,0.636363636,0.9,20.7
noun,candy,1.117647059,0.533333333,35
noun,car,0.466666667,0.75,35.3
noun,carrots,0.5,0.272727273,43
noun,cat,0.538461538,1.133333333,46.5
noun,cereal,0.214285714,-1.071428571,28.0625
noun,chair,0.0625,1.7,34.18181818
noun,chalk,0.636363636,1,37.21428571
noun,cheek,1.3,0.166666667,23.69230769
noun,cheerios,1.916666667,1.1,32.8
noun,cheese,-0.363636364,-0.538461538,38.83333333
noun,child,0.933333333,0.5,32.4
noun,chin,1.333333333,0.909090909,39.53333333
noun,chocolate,0.545454545,0.615384615,42.16666667
noun,church,0.076923077,0.5,15.90909091
noun,circus,0.6,0.090909091,29.75
noun,clock,0.611111111,1.9,31.75
noun,closet,1.4375,-0.142857143,29.76923077
noun,cloud,1,-0.75,43.42105263
noun,clown,0.153846154,-1.25,44.85714286
noun,coat,-0.8,-1.153846154,31.2
noun,coffee,1.3,0.125,28.0625
noun,coke,1,0.25,23.5
noun,comb,-0.066666667,0.642857143,17.90909091
noun,cookie,0.454545455,0.5,28
noun,corn,0.307692308,-0.363636364,23.61538462
noun,couch,-0.166666667,0,28.5
noun,country,-0.529411765,0.142857143,33
noun,cow,1.454545455,0.5,45.76923077
noun,cracker,0.583333333,0.909090909,28.11111111
noun,crayon,0.818181818,0.416666667,14.5
noun,crib,-0.411764706,0.5,15.90909091
noun,cup,1.538461538,0.727272727,38.86666667
noun,daddy,1.428571429,2.1,47.92857143
noun,day,-0.153846154,1.461538462,37.52941176
noun,deer,-0.444444444,-0.214285714,49.15384615
noun,diaper,-0.272727273,1.090909091,38.90909091
noun,dinner,0.263157895,NA,16.1
noun,dish,0.75,0.5,26.9
noun,doctor,1.6,0.8125,27.0625
noun,dog,1.272727273,-0.071428571,34
noun,doll,-0.428571429,1.785714286,33.7
noun,donkey,0.842105263,0.923076923,33.25
noun,donut,0.181818182,0.25,29.8
noun,door,1.272727273,0.75,39.33333333
noun,drawer,-0.923076923,-0.230769231,32.5
noun,dress,0,1,33
noun,dryer,1.555555556,1.666666667,27.91666667
noun,duck,0.3,0.6,40.75
noun,ear,1.1,1,38.77777778
noun,egg,1.818181818,0.4,49.18181818
noun,elephant,2.142857143,-0.25,27.3
noun,eye,1,1.083333333,34.7
noun,face,0.272727273,0.6,26.4
noun,farm,-0.105263158,0.727272727,32.23076923
noun,feet,0.357142857,0.4,43.05882353
noun,finger,0.181818182,0.428571429,62.36363636
noun,flag,-0.785714286,0.333333333,34.90909091
noun,flower,-0.083333333,0.909090909,40.3
noun,food,1.071428571,0.357142857,45.15384615
noun,fork,0.818181818,1.071428571,52.33333333
noun,friend,0.818181818,0.692307692,63.2
noun,frog,2.181818182,0.454545455,36.09090909
noun,game,0.066666667,0.818181818,26.625
noun,garage,0.133333333,0,19.5
noun,garbage,0.333333333,1.833333333,25
noun,garden,-0.1875,0.727272727,31.05882353
noun,giraffe,-1.19047619,0.133333333,25.57894737
noun,girl,0.636363636,-0.7,53.66666667
noun,glass,0.8,1.166666667,30.6
noun,glasses,0.416666667,0.2,48.85714286
noun,gloves,-1.1,0,32.45454545
noun,glue,0.6,1.066666667,23.5
noun,goose,0.230769231,-0.25,24
noun,grapes,-0.8125,0,46.52941176
noun,grass,1.1,0.916666667,48.68421053
noun,gum,1.6,1,43.08333333
noun,hair,-0.416666667,0.428571429,38.5
noun,hamburger,-0.357142857,-0.384615385,20.08333333
noun,hammer,1.384615385,1.066666667,36.63636364
noun,hand,0.388888889,0.176470588,33.5
noun,hat,1.461538462,0.818181818,38.8
noun,head,0.6875,-0.4,54.875
noun,hen,0.454545455,0.454545455,32.2
noun,home,2,1.833333333,46.13333333
noun,horse,-0.363636364,0.8,36.54545455
noun,hose,0.642857143,0.272727273,30.53846154
noun,house,0.454545455,0.615384615,34
noun,ice,0.642857143,1.083333333,42.63636364
noun,jacket,0.5,-0.333333333,22.7
noun,jar,0.461538462,0.352941176,36.84210526
noun,jeans,0,0.166666667,30.16666667
noun,jello,2.25,1.7,31.2
noun,jelly,1.6,1.375,20.41666667
noun,juice,0.615384615,1.272727273,38.72727273
noun,keys,0.9375,0.727272727,47.13333333
noun,kitchen,-0.058823529,0.727272727,38.88888889
noun,kitty,0,1.636363636,53.94117647
noun,kleenex,2.9,-2.181818182,23.90909091
noun,knee,0.133333333,-0.153846154,40.7
noun,knife,0.523809524,-0.9,41.41666667
